"FID,POINTID,Depth,POINTID_1,EC,OC,Elev,oc1,ec1,LC0_Desc,EVI250,LST250,susm,twi,TH_LAT,TH_LONG,slope250,Prec_World,Temp_Iberi,pr37040,pr37060,pr58040,pr58060,T37040,t37060,t58560,t58540"
"62,29781936,0-20 cm,29781936,2.5,119.5,464,119.5,2.5,Grassland,0.230096372,14959.04348,53.23609924,-2.487940073,39.2694316,-5.593018734,1.881539941,45.57770157,15.99720001,42.83333333,41.75,44.58333333,41.58333333,9.600000381,10.75,10.80000019,9.800000191"
"63,29902028,0-20 cm,29902028,1.6,100.6,556,100.6,1.6,Artificial land,0.27534167,14790.88636,51.93590164,-2.314199924,40.10506259,-5.655113766,3.458960056,43.71709824,14.40779972,41.83333333,41.08333333,43.25,40.66666667,8.5,9.600000381,9.699999809,8.649999619"
"64,29941942,0-20 cm,29941942,1.4,128.2,493,128.2,1.4,Cropland,0.228419817,14955.86364,59.8716011,3.136509895,39.35191646,-5.424010486,1.563240051,45.13869858,15.33530045,42.25,41.08333333,44,40.91666667,9,10.10000038,10.19999981,9.149999619"
"65,30001912,0-20 cm,30001912,1.8,102.8,389,102.8,1.8,Woodland,0.171440142,14933.22727,51.96760178,-2.520329952,39.0972088,-5.29286564,3.341289997,43.70330048,16.0230999,40.75,39.5,42.33333333,39.33333333,9.550000191,10.69999981,10.75,9.699999809"
"66,30101894,0-20 cm,30101894,1.4,95.3,470,95.3,1.4,Grassland,0.202773523,15010.63043,56.90060043,-1.78471005,38.95574054,-5.142389293,3.534359932,44.95690155,15.80230045,41.41666667,40.33333333,43.25,39.91666667,9.350000381,10.44999981,10.55000019,9.449999809"
"67,28201786,0-20 cm,28201786,1.5,61.4,189,61.4,1.5,Grassland,0.192339091,15025.86957,47.58890152,0.454374999,37.63925247,-7.035233879,1.96468997,45.15769958,17.6439991,41.91666667,40.08333333,43.16666667,39.66666667,12,13.05000019,13.10000038,12.05000019"
"68,28201818,0-20 cm,28201818,1,68.1,317,68.1,1,Woodland,0.264209318,14816.44444,48.22969818,-3.285099983,37.92160592,-7.107086195,5.239470005,49.18349838,16.29920006,46.16666667,44.83333333,47.75,44.33333333,10.89999962,11.94999981,12,10.94999981"
"69,28301756,0-20 cm,28301756,0.7,206.5,99,206.5,0.7,Cropland,0.233585474,15014.51111,44.32780075,5.72465992,37.39430662,-6.858424314,0.956247985,43.23070145,18.12859917,39.75,37.75,40.75,37.08333333,12.55000019,13.55000019,13.60000038,12.60000038"
"70,28541796,0-20 cm,28541796,0.8,59.7,457,59.7,0.8,Woodland,0.226503362,14886.6087,50.18289948,0.560883999,37.79515704,-6.680874124,2.640379906,51.94110107,16.2031002,48.41666667,46.58333333,49.83333333,46.08333333,10.44999981,11.60000038,11.64999962,10.60000038"
"71,28641812,0-20 cm,28641812,1.5,80.4,518,80.4,1.5,Woodland,0.22707721,14813.41304,62.36589813,-3.591619968,37.95615197,-6.604965189,10.35509968,56.27410126,15.24339962,52.91666667,50.91666667,54.58333333,50.33333333,9.350000381,10.5,10.55000019,9.5"
